ip,port
144.202.74.97,443
95.141.130.122,9999
95.231.87.112,9999
134.19.218.94,3129
103.211.232.140,6667
103.216.82.18,6667
103.216.82.19,6667
194.182.73.139,8080
217.61.107.173,8888
35.159.52.64,8081
217.91.227.43,3128
200.153.145.165,8080
125.99.34.93,8080
219.92.17.225,8080
87.228.31.93,9999
91.221.109.136,3128
217.113.122.142,3128
84.22.139.241,3128
139.59.53.107,1080
188.226.141.211,1080
88.198.24.108,1080
192.169.197.122,7975
123.110.185.95,9999
192.169.237.189,45581
112.133.215.138,9999
166.62.42.219,38054
192.169.197.146,19122
